Country	Year	IT										
AUS	1985	0										
AUS	1986	0										
AUS	1987	0										
AUS	1988	0										
AUS	1989	0										
AUS	1990	0										
AUS	1991	0										
AUS	1992	0										
AUS	1993	1										
AUS	1994	1										
AUS	1995	1										
AUS	1996	1										
AUS	1997	1										
AUS	1998	1										
AUS	1999	1										
AUS	2000	1										
AUS	2001	1										
AUS	2002	1										
AUS	2003	1										
AUS	2004	1										
AUS	2005	1										
AUS	2006	1										
AUS	2007	1										
AUS	2008	1										
AUS	2009	1										
AUS	2010	1										
AUS	2011	1										
AUS	2012	1										
BRA	1985	0										
BRA	1986	0										
BRA	1987	0										
BRA	1988	0										
BRA	1989	0										
BRA	1990	0										
BRA	1991	0										
BRA	1992	0										
BRA	1993	0										
BRA	1994	0										
BRA	1995	0										
BRA	1996	0										
BRA	1997	0										
BRA	1998	0										
BRA	1999	1										
BRA	2000	1										
BRA	2001	1										
BRA	2002	1										
BRA	2003	1										
BRA	2004	1										
BRA	2005	1										
BRA	2006	1										
BRA	2007	1										
BRA	2008	1										
BRA	2009	1										
BRA	2010	1										
BRA	2011	1										
BRA	2012	1										
CAN	1985	0										
CAN	1986	0										
CAN	1987	0										
CAN	1988	0										
CAN	1989	0										
CAN	1990	0										
CAN	1991	1										
CAN	1992	1										
CAN	1993	1										
CAN	1994	1										
CAN	1995	1										
CAN	1996	1										
CAN	1997	1										
CAN	1998	1										
CAN	1999	1										
CAN	2000	1										
CAN	2001	1										
CAN	2002	1										
CAN	2003	1										
CAN	2004	1										
CAN	2005	1										
CAN	2006	1										
CAN	2007	1										
CAN	2008	1										
CAN	2009	1										
CAN	2010	1										
CAN	2011	1										
CAN	2012	1										
CHL	1985	0										
CHL	1986	0										
CHL	1987	0										
CHL	1988	0										
CHL	1989	0										
CHL	1990	0										
CHL	1991	1										
CHL	1992	1										
CHL	1993	1										
CHL	1994	1										
CHL	1995	1										
CHL	1996	1										
CHL	1997	1										
CHL	1998	1										
CHL	1999	1										
CHL	2000	1										
CHL	2001	1										
CHL	2002	1										
CHL	2003	1										
CHL	2004	1										
CHL	2005	1										
CHL	2006	1										
CHL	2007	1										
CHL	2008	1										
CHL	2009	1										
CHL	2010	1										
CHL	2011	1										
CHL	2012	1										
COL	1985	0										
COL	1986	0										
COL	1987	0										
COL	1988	0										
COL	1989	0										
COL	1990	0										
COL	1991	0										
COL	1992	0										
COL	1993	0										
COL	1994	0										
COL	1995	0										
COL	1996	0										
COL	1997	0										
COL	1998	0										
COL	1999	0										
COL	2000	1										
COL	2001	1										
COL	2002	1										
COL	2003	1										
COL	2004	1										
COL	2005	1										
COL	2006	1										
COL	2007	1										
COL	2008	1										
COL	2009	1										
COL	2010	1										
COL	2011	1										
COL	2012	1										
CZE	1985	0										
CZE	1986	0										
CZE	1987	0										
CZE	1988	0										
CZE	1989	0										
CZE	1990	0										
CZE	1991	0										
CZE	1992	0										
CZE	1993	0										
CZE	1994	0										
CZE	1995	0										
CZE	1996	0										
CZE	1997	0										
CZE	1998	1										
CZE	1999	1										
CZE	2000	1										
CZE	2001	1										
CZE	2002	1										
CZE	2003	1										
CZE	2004	1										
CZE	2005	1										
CZE	2006	1										
CZE	2007	1										
CZE	2008	1										
CZE	2009	1										
CZE	2010	1										
CZE	2011	1										
CZE	2012	1										
FIN	1985	0										
FIN	1986	0										
FIN	1987	0										
FIN	1988	0										
FIN	1989	0										
FIN	1990	0										
FIN	1991	0										
FIN	1992	0										
FIN	1993	1										
FIN	1994	1										
FIN	1995	1										
FIN	1996	1										
FIN	1997	1										
FIN	1998	1										
